Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250050-València - Bulevard Sud
	
FECHA	HORA	SO2	NO	NO2	NOx	O3
		µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
19/01/2024	03	3	4	6	12	47
19/01/2024	04	3	4	9	15	34
19/01/2024	05	3	18	35	62	8
19/01/2024	06	3	14	43	65	6
19/01/2024	07	3	48	53	127	4
19/01/2024	08	3	57	53	140	7
19/01/2024	09	3	12	29	47	26
19/01/2024	10	3	8	15	28	45
19/01/2024	11	3	6	13	22	50
19/01/2024	12	3	7	10	21	50
19/01/2024	13	3	10	19	34	37
19/01/2024	14	3	9	19	33	35
19/01/2024	15	3	7	10	22	43
19/01/2024	16	3	6	10	18	43
19/01/2024	17	3	5	13	21	36
19/01/2024	18	5	5	9	16	40
19/01/2024	19	3	4	8	15	46
19/01/2024	20	3	7	17	28	37
19/01/2024	21	3	6	13	22	41
19/01/2024	22	3	3	4	10	47
19/01/2024	23	3	3	5	10	48
20/01/2024	00	3	3	4	9	48
20/01/2024	01	3	3	6	11	40
20/01/2024	02	3	3	5	9	43
20/01/2024	03	3	3	4	9	49
20/01/2024	04	3	3	4	9	52
20/01/2024	05	3	3	4	9	43
20/01/2024	06	3	3	4	9	45
20/01/2024	07	3	3	6	11	52
20/01/2024	08	3	3	15	20	34
20/01/2024	09	3	4	23	29	21
20/01/2024	10	3	6	16	24	19
20/01/2024	11	3	7	10	20	26
20/01/2024	12	3	5	8	16	35
20/01/2024	13	3	5	12	20	39
20/01/2024	14	3	5	10	17	40
20/01/2024	15	3	4	13	19	39
20/01/2024	16	3	4	12	19	44
20/01/2024	17	3	4	10	16	47
20/01/2024	18	3	4	14	21	44
20/01/2024	19	5	4	24	31	40
20/01/2024	20	3	7	30	40	39
20/01/2024	21	3	9	31	45	38
20/01/2024	22	3	6	26	36	42
20/01/2024	23	3	3	21	26	39
21/01/2024	00	3	3	22	27	29
21/01/2024	01	3	3	24	29	26
21/01/2024	02	3	3	10	15	37
21/01/2024	03	3	3	6	11	38
21/01/2024	04	3	3	8	13	30
21/01/2024	05	3	3	7	12	21
21/01/2024	06	3	4	12	19	13
21/01/2024	07	3	5	21	29	4
21/01/2024	08	3	16	20	44	4
21/01/2024	09	3	13	18	37	11
21/01/2024	10	3	7	9	20	25
21/01/2024	11	3	3	4	9	38
21/01/2024	12	3	4	4	9	53
21/01/2024	13	3	4	5	10	58
21/01/2024	14	3	4	4	10	60
21/01/2024	15	3	4	4	10	66
21/01/2024	16	3	4	4	10	70
21/01/2024	17	3	4	5	11	69
21/01/2024	18	3	4	11	17	64
21/01/2024	19	3	8	47	59	30
21/01/2024	20	3	28	62	105	7
21/01/2024	21	3	7	49	59	11
21/01/2024	22	3	22	55	89	3
21/01/2024	23	3	4	28	34	10
22/01/2024	00	3	3	16	21	16
22/01/2024	01	3	8	18	30	10
22/01/2024	02	3	4	16	22	5
22/01/2024	03	3	6	11	19	7
22/01/2024	04	3	7	13	23	5
22/01/2024	05	3	11	16	33	4
22/01/2024	06	4	16	13	37	3
22/01/2024	07	7	74	19	132	3
22/01/2024	08	10	133	28	231	3
22/01/2024	09	10	122	42	230	3
22/01/2024	10	6	52	33	114	7
22/01/2024	11	3	25	23	62	15
22/01/2024	12	3	12	15	34	27
22/01/2024	13	3	7	9	19	41
22/01/2024	14	3	5	9	16	48
22/01/2024	15	3	6	13	22	50
22/01/2024	16	3	11	29	45	37
22/01/2024	17	3	8	25	36	41
22/01/2024	18	3	9	35	50	34
22/01/2024	19	3	7	42	52	21
22/01/2024	20	4	55	66	150	3
22/01/2024	21	3	52	67	146	3
22/01/2024	22	3	48	53	127	3
22/01/2024	23	3	54	45	127	3
23/01/2024	00	3	48	40	113	3
23/01/2024	01	3	21	32	63	3
23/01/2024	02	3	17	22	47	3
23/01/2024	03	3	34	18	71	3
23/01/2024	04	3	28	19	62	3
23/01/2024	05	3	30	20	66	3
23/01/2024	06	3	43	21	87	3
23/01/2024	07	3	48	33	105	3
23/01/2024	08	4	73	34	146	3
23/01/2024	09	3	67	34	137	4
23/01/2024	10	3	26	18	58	11
23/01/2024	11	3	7	6	16	23
23/01/2024	12	3	6	4	12	31
23/01/2024	13	3	11	17	33	35
23/01/2024	14	3	7	13	23	44
23/01/2024	15	3	5	9	16	52
23/01/2024	16	3	5	12	19	52
23/01/2024	17	3	7	28	38	39
23/01/2024	18	3	9	39	53	32
23/01/2024	19	3	23	61	96	13
23/01/2024	20	3	58	71	159	5
23/01/2024	21	3	20	62	93	5
23/01/2024	22	3	39	57	117	3
23/01/2024	23	3	55	53	137	3
24/01/2024	00	3	39	52	112	3
24/01/2024	01	3	22	35	69	3
24/01/2024	02	3	28	28	69	3
24/01/2024	03	3	23	24	59	3
24/01/2024	04	3	21	20	52	3
24/01/2024	05	3	50	18	95	3
24/01/2024	06	3	70	20	128	3
24/01/2024	07	6	147	30	256	3
24/01/2024	08	7	181	43	321	3
24/01/2024	09	7	125	38	229	3
24/01/2024	10	4	75	39	154	5
24/01/2024	11	3	34	32	83	12
24/01/2024	12	3	19	25	55	22
24/01/2024	13	3	14	24	45	31
24/01/2024	14	3	14	31	53	38
24/01/2024	15	3	9	24	38	50
24/01/2024	16	3	8	24	36	49
24/01/2024	17	3	12	50	69	28
24/01/2024	18	4	108	90	256	4
24/01/2024	19	6	165	94	347	3
24/01/2024	20	4	101	85	240	3
24/01/2024	21	3	35	67	121	5
24/01/2024	22	3	12	47	65	15
24/01/2024	23	3	61	52	146	3
25/01/2024	00	4	74	35	147	3
25/01/2024	01	3	60	31	123	3
25/01/2024	02	3	39	30	90	3
25/01/2024	03	3	32	23	72	3
25/01/2024	04	3	40	23	83	3
25/01/2024	05	3	54	25	108	3
25/01/2024	06	3	47	20	93	3
25/01/2024	07	7	122	34	220	3
25/01/2024	08	8	200	41	348	3
25/01/2024	09	8	195	81	379	3
25/01/2024	10	6	121	66	252	4
25/01/2024	11	4	51	59	137	12
25/01/2024	12	6	34	52	104	22
25/01/2024	13	3	37	63	120	26
25/01/2024	14	3	34	60	112	26
25/01/2024	15	3	14	42	64	43
25/01/2024	16	3	18	52	79	36
25/01/2024	17	3	23	70	105	17
25/01/2024	18	3	39	83	143	5
25/01/2024	19	4	105	78	238	3
25/01/2024	20	6	168	73	329	3
25/01/2024	21	6	137	70	280	3
25/01/2024	22	4	82	60	185	3
25/01/2024	23	3	55	58	142	3
26/01/2024	00	5	47	47	119	3
26/01/2024	01	4	56	43	129	3
26/01/2024	02	3	43	35	100	3
26/01/2024	03	3	37	27	85	3
26/01/2024	04	3	24	30	67	3
26/01/2024	05	3	15	26	48	3
26/01/2024	06	3	49	28	103	3
26/01/2024	07	5	98	38	188	3
26/01/2024	08	5	137	39	249	3
26/01/2024	09	5	118	37	218	3
26/01/2024	10	5	104	47	207	4
26/01/2024	11	3	48	37	110	10
26/01/2024	12	4	35	48	101	18
26/01/2024	13	4	20	39	70	36
26/01/2024	14	3	9	21	34	53
26/01/2024	15	5	9	22	35	55
26/01/2024	16	3	9	29	43	53
26/01/2024	17	3	15	48	71	39
26/01/2024	18	3	45	86	155	10
26/01/2024	19	5	106	93	255	3
26/01/2024	20	5	141	85	300	3
26/01/2024	21	5	127	73	267	3
26/01/2024	22	5	98	61	211	3
26/01/2024	23	3	34	51	102	3
27/01/2024	00	3	20	43	74	3
27/01/2024	01	3	21	38	70	3
27/01/2024	02	3	16	32	56	3
27/01/2024	03	3	11	27	45	3
27/01/2024	04	3	20	26	57	3
27/01/2024	05	3	13	24	44	3
27/01/2024	06	3	16	26	50	3
27/01/2024	07	3	46	27	98	3
27/01/2024	08	3	40	25	87	3
27/01/2024	09	3	43	32	99	3
27/01/2024	10	3	55	36	119	4
27/01/2024	11	3	39	39	98	8
27/01/2024	12	5	31	39	87	17
27/01/2024	13	7	21	41	72	29
27/01/2024	14	8	29	52	97	27
27/01/2024	15	6	11	36	53	45
27/01/2024	16	5	18	64	92	31
27/01/2024	17	4	25	75	113	21
27/01/2024	18	3	18	80	107	6
27/01/2024	19	3	27	77	118	3
27/01/2024	20	3	57	69	156	3
27/01/2024	21	4	83	61	187	3
27/01/2024	22	4	86	52	183	3
27/01/2024	23	3	58	51	139	3
28/01/2024	00	3	31	48	95	3
28/01/2024	01	3	15	39	62	3
28/01/2024	02	3	3	24	30	5
28/01/2024	03	3	3	23	28	5
28/01/2024	04	3	9	22	36	3
28/01/2024	05	3	5	17	24	4
28/01/2024	06	3	10	14	28	3
28/01/2024	07	4	11	18	34	3
28/01/2024	08	4	21	22	54	3
28/01/2024	09	3	20	23	54	4
28/01/2024	10	4	26	25	65	8
28/01/2024	11	4	17	26	52	21
28/01/2024	12	6	9	21	36	34
28/01/2024	13	5	8	19	31	41
28/01/2024	14	5	8	17	28	50
28/01/2024	15	4	4	7	13	66
28/01/2024	16	3	4	6	11	65
28/01/2024	17	3	4	10	16	60
28/01/2024	18	3	4	9	14	63
28/01/2024	19	3	4	9	15	62
28/01/2024	20	3	5	15	22	60
28/01/2024	21	3	3	12	17	57
28/01/2024	22	3	4	8	14	60
28/01/2024	23	3	3	8	14	51
29/01/2024	00	3	3	7	12	46
29/01/2024	01	3	3	7	12	47
29/01/2024	02	3	3	4	9	56
29/01/2024	03	3	3	4	9	48
29/01/2024	04	3	3	4	9	46
29/01/2024	05	3	3	5	10	41
29/01/2024	06	3	3	20	25	21
29/01/2024	07	3	12	38	56	8
29/01/2024	08	3	40	44	105	3
29/01/2024	09	3	34	36	88	4
29/01/2024	11	3	26	36	75	9
29/01/2024	12	3	20	37	67	15
