Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250048-València - Molí del Sol
	
FECHA	HORA	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
		µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
10/01/2024	21	6	2	3	0,1	1	23	8	24	37
10/01/2024	22	5	2	3	0,1	1	25	6	25	31
10/01/2024	23	4	2	3	0,1	1	23	5	23	37
11/01/2024	00	4	2	3	0,1	1	12	4	12	47
11/01/2024	01	6	3	3	0,1	1	15	7	16	29
11/01/2024	02	7	3	3	0,1	1	11	7	11	34
11/01/2024	03	8	4	3	0,1	1	15	9	17	20
11/01/2024	04	7	3	3	0,1	1	13	7	14	22
11/01/2024	05	7	3	3	0,1	1	11	7	12	20
11/01/2024	06	11	5	3	0,2	8	27	11	39	6
11/01/2024	07	11	5	5	0,2	40	32	12	93	5
11/01/2024	08	9	4	5	0,2	51	32	10	110	9
11/01/2024	09	4	2	3	0,1	7	29	7	39	15
11/01/2024	10	2	1	4	0,1	6	19	5	28	26
11/01/2024	11	3	1	3	0,1	4	17	6	23	33
11/01/2024	12	3	1	4	0,1	5	13	4	21	43
11/01/2024	13	5	2	4	0,1	4	16	8	22	46
11/01/2024	14	3	1	4	0,1	5	18	6	26	44
11/01/2024	15	3	1	4	0,1	4	16	4	22	51
11/01/2024	16	3	1	4	0,1	4	17	4	23	56
11/01/2024	17	3	1	4	0,1	7	27	4	38	48
11/01/2024	18	3	1	4	0,2	11	44	6	62	28
11/01/2024	19	5	1	4	0,2	2	40	12	43	25
11/01/2024	20	3	1	4	0,1	3	27	4	32	43
11/01/2024	21	5	2	3	0,2	3	30	6	34	39
11/01/2024	22	13	6	3	0,3	9	44	17	58	16
11/01/2024	23	9	4	3	0,2	1	30	11	32	18
12/01/2024	00	4	2	3	0,1	1	14	5	15	36
12/01/2024	01	4	2	3	0,1	1	13	5	13	35
12/01/2024	02	5	2	3	0,1	1	15	6	16	24
12/01/2024	03	5	2	3	0,1	5	18	5	25	18
12/01/2024	04	4	2	3	0,1	9	23	5	36	11
12/01/2024	05	4	2	3	0,1	3	22	6	26	16
12/01/2024	06	5	2	4	0,3	23	40	7	75	7
12/01/2024	07	3	1	3	0,1	1	33	4	34	21
12/01/2024	08	5	2	3	0,1	2	33	7	37	22
12/01/2024	09	8	2	4	0,1	9	35	17	49	24
12/01/2024	10	7	2	4	0,1	5	14	16	23	42
12/01/2024	11	6	2	4	0,1	4	13	11	19	49
12/01/2024	12	9	3	4	0,1	5	17	14	24	53
12/01/2024	13	11	5	4	0,1	5	19	15	27	52
12/01/2024	14	12	5	5	0,2	9	25	16	38	51
12/01/2024	15	11	4	4	0,1	5	18	13	25	60
12/01/2024	16	10	3	4	0,1	4	19	12	25	61
12/01/2024	17	9	4	4	0,1	3	30	12	34	45
12/01/2024	18	10	4	4	0,1	2	39	11	40	28
12/01/2024	19	12	4	4	0,2	10	52	15	68	9
12/01/2024	20	17	7	3	0,3	9	47	21	60	7
12/01/2024	21	16	6	5	0,4	44	52	21	118	3
12/01/2024	22	29	13	5	0,5	55	51	33	136	3
12/01/2024	23	26	11	3	0,4	13	45	29	66	2
13/01/2024	00	26	11	3	0,3	5	36	29	44	5
13/01/2024	01	27	12	3	0,3	16	31	30	55	3
13/01/2024	02	25	10	3	0,3	7	29	26	40	3
13/01/2024	03	24	10	3	0,3	9	22	25	36	4
13/01/2024	04	20	9	3	0,2	4	21	21	27	4
13/01/2024	05	18	8	3	0,2	4	19	18	25	3
13/01/2024	06	15	6	3	0,2	8	22	17	34	5
13/01/2024	07	12	5	5	0,1	20	27	15	57	3
13/01/2024	08	15	6	4	0,1	32	26	21	75	4
13/01/2024	09	15	5	5	0,1	25	27	25	65	7
13/01/2024	10	16	7	5	0,2	36	38	21	92	9
13/01/2024	11	13	5	5	0,1	29	39	18	83	14
13/01/2024	12	12	5	4	0,1	12	26	16	45	32
13/01/2024	13	11	4	4	0,1	10	25	13	40	46
13/01/2024	14	17	8	4	0,1	11	30	21	47	42
13/01/2024	15	17	8	4	0,1	7	25	20	36	55
13/01/2024	16	15	6	4	0,1	5	32	16	40	46
13/01/2024	17	13	6	4	0,1	7	38	15	48	40
13/01/2024	18	14	6	3	0,1	4	38	18	44	32
13/01/2024	19	20	8	3	0,2	3	44	25	48	12
13/01/2024	20	21	9	4	0,2	13	52	23	72	4
13/01/2024	21	25	11	4	0,3	20	51	27	81	4
13/01/2024	22	31	14	3	0,4	22	54	33	87	4
13/01/2024	23	33	15	3	0,4	17	50	37	76	3
14/01/2024	00	33	15	3	0,4	23	44	37	80	1
14/01/2024	01	28	13	3	0,3	6	36	30	45	3
14/01/2024	02	23	10	3	0,3	2	29	24	32	12
14/01/2024	03	16	7	3	0,2	1	22	16	23	26
14/01/2024	04	15	7	3	0,1	1	15	15	16	20
14/01/2024	05	18	8	3	0,2	1	20	19	22	7
14/01/2024	06	13	5	3	0,2	4	23	16	29	11
14/01/2024	07	5	2	3	0,1	1	12	11	13	47
14/01/2024	08	6	2	3	0,1	1	9	14	9	
14/01/2024	09	8	3	3	0,1	1	8	17	8	
14/01/2024	10	8	2	4	0,1	1	7	15	8	
14/01/2024	11	8	2	4	0,1	1	6	17	8	
14/01/2024	12	9	2	4	0,1	1	8	21	8	
14/01/2024	13	7	2	4	0,1	1	8	19	8	
14/01/2024	14	7	2	4	0,1	1	8	14	8	
14/01/2024	15	6	2	4	0,1	1	9	13	10	
14/01/2024	16	6	1	3	0,1	1	8	20	9	
14/01/2024	17	6	1	3	0,1	1	6	21	7	
14/01/2024	18	5	1	3	0,1	1	8	13	9	
14/01/2024	19	7	1	3	0,1	1	15	19	16	
14/01/2024	20	5	1	3	0,1	1	7	13	8	
14/01/2024	21	4	1	3	0,1	1	8	8	9	
14/01/2024	22	6	2	3	0,1	1	10	11	10	
14/01/2024	23	8	2	3	0,1	1	8	13	8	
15/01/2024	00	8	2	3	0,1	1	8	12	8	
15/01/2024	01	7	2	3	0,1	1	10	10	11	
15/01/2024	02	6	2	3	0,1	1	11	10	11	
15/01/2024	03	8	2	3	0,1	1	6	10	7	
15/01/2024	04	7	2	3	0,1	1	6	10	7	
15/01/2024	05	9	2	3	0,1	1	6	12	7	
15/01/2024	06	9	2	3	0,1	1	8	12	9	
15/01/2024	07	9	2	3	0,1	1	13	12	13	
15/01/2024	08	8	2	3	0,1	1	16	14	16	
15/01/2024	09	6	1	3	0,1	1	17	13	18	
15/01/2024	10	4	1	4	0,1	1	16	9	17	
15/01/2024	11	3	1	3	0,1	1	13	12	15	
15/01/2024	12	3	1	4	0,1	1	9	12	10	
15/01/2024	13	3	1	3	0,1	1	11	13	13	
15/01/2024	14	2	1	4	0,1	2	10	8	12	
15/01/2024	15	2	1	4	0,1	1	9	6	10	
15/01/2024	16	2	1	3	0,1	1	9	8	10	
15/01/2024	17	2	1	4	0,1	1	10	5	11	
15/01/2024	18	1	1	3	0,1	1	14	3	14	
15/01/2024	19	1	1	3	0,1	1	14	2	15	
15/01/2024	20	1	1	3	0,1	1	13	2	13	
15/01/2024	21	2	1	3	0,1	1	13	2	13	
15/01/2024	22	1	1	3	0,1	1	8	2	9	
15/01/2024	23	1	1	3	0,1	1	7	1	7	
16/01/2024	00	1	1	3	0,1	1	5	1	5	
16/01/2024	01	1	1	3	0,1	1	6	1	6	
16/01/2024	02	2	1	3	0,1	1	4	2	5	
16/01/2024	03	2	1	3	0,1	1	5	2	5	
16/01/2024	04	2	1	3	0,1	1	4	2	4	
16/01/2024	05	2	1	3	0,1	1	6	2	6	
16/01/2024	06	3	1	3	0,1	1	6	4	6	
16/01/2024	07	3	1	3	0,1	3	21	5	25	
16/01/2024	08	4	1	3	0,1	1	28	8	28	
16/01/2024	09	3	1	4	0,1	1	15	6	16	
16/01/2024	10	3	1	4	0,1	1	15	8	17	
16/01/2024	11	3	1	5	0,1	2	14	9	16	
16/01/2024	12	3	1	4	0,1	1	20	10	21	
16/01/2024	13	3	1	4	0,1	1	17	7	19	
16/01/2024	14	3	1	4	0,1	2	12	5	15	
16/01/2024	15	4	1	3	0,1	1	12	10	13	
16/01/2024	16	10	2	3	0,1	1	14	26	15	
16/01/2024	17	10	2	3	0,1	1	24	22	26	
16/01/2024	18	11	2	3	0,1	4	52	22	58	
16/01/2024	19	12	2	3	0,1	8	51	23	63	
16/01/2024	20	10	2	3	0,1	1	32	17	32	
16/01/2024	21	8	1	3	0,1	1	15	15	15	
16/01/2024	22	13	2	3	0,1	1	10	51	10	
16/01/2024	23	8	2	3	0,1	1	6	21	6	
17/01/2024	00	4	1	3	0,1	1	5	5	5	
17/01/2024	01	4	1	3	0,1	1	4	4	5	
17/01/2024	02	4	1	3	0,1	1	7	5	8	
17/01/2024	03	4	2	3	0,1	3	12	5	16	
17/01/2024	04	4	2	3	0,1	1	8	5	8	
17/01/2024	05	6	2	3	0,1	1	14	7	14	
17/01/2024	06	5	2	3	0,1	1	23	7	23	
17/01/2024	07	8	2	4	0,2	30	53	12	99	
17/01/2024	08	13	4	4	0,3	36	53	24	109	
17/01/2024	09	9	3					17		
17/01/2024	10	11	4	4	0,1	1	19	15	21	
17/01/2024	11	9	2	4	0,1	1	12	29	13	
17/01/2024	12	7	1	4	0,1	2	9	24	11	71
17/01/2024	13	13	1	4	0,1	1	7	61	8	76
17/01/2024	14	21	1	3	0,1	1	6	121	7	74
17/01/2024	15	7	1	3	0,1	1	7	31	8	76
17/01/2024	16	8	1	3	0,1	1	10	39	11	74
17/01/2024	17	6	1	3	0,1	1	7	27	7	83
17/01/2024	18	1	1	3	0,1	1	9	3	10	80
17/01/2024	19	2	1	4	0,1	1	10	5	11	78
17/01/2024	20	9	1	3	0,1	1	6	48	7	81
17/01/2024	21	8	1	3	0,1	1	4	44	4	81
17/01/2024	22	6	1	3	0,1	1	4	30	4	81
17/01/2024	23	3	1	3	0,1	1	3	15	4	80
18/01/2024	00	2	1	3	0,1	1	3	5	3	78
18/01/2024	01	2	1	3	0,1	1	3	3	4	80
18/01/2024	02	1	1	3	0,1	1	4	3	4	79
18/01/2024	03	2	1	3	0,1	1	4	2	4	78
18/01/2024	04	2	1	3	0,1	1	3	3	3	81
18/01/2024	05	2	1	3	0,1	1	4	3	4	79
18/01/2024	06	2	1	3	0,1	1	7	3	7	69
18/01/2024	07	2	1	4	0,1	1	9	5	10	69
18/01/2024	08	3	1	3	0,1	1	11	9	11	69
18/01/2024	09	3	1	3	0,1	1	12	6	13	66
18/01/2024	10	3	1	5	0,1	1	8	7	9	74
18/01/2024	11	3	1	3	0,1	1	6	7	7	79
18/01/2024	12	3	1	3	0,1	1	7	8	8	76
18/01/2024	13	3	1	4	0,1	1	8	8	9	67
18/01/2024	14	2	1	3	0,1	1	7	9	8	66
18/01/2024	15	2	1	3	0,1	1	7	6	8	65
18/01/2024	16	3	1	3	0,1	1	10	7	12	63
18/01/2024	17	3	1	3	0,1	1	12	9	13	61
18/01/2024	18	2	1	3	0,1	1	11	4	12	60
18/01/2024	19	2	1	3	0,1	1	16	4	16	54
18/01/2024	20	2	1	3	0,1	1	22	4	22	50
18/01/2024	21	2	1	3	0,1	1	13	3	13	58
18/01/2024	22	2	1	3	0,1	1	9	2	9	56
18/01/2024	23	2	1	3	0,1	1	8	2	9	57
19/01/2024	00	2	1	3	0,1	1	7	2	7	57
19/01/2024	01	1	1	3	0,1	1	6	1	6	59
19/01/2024	02	2	1	3	0,1	1	7	2	7	51
19/01/2024	03	2	1	3	0,1	1	9	2	10	46
19/01/2024	04	2	1	3	0,1	1	10	3	11	39
19/01/2024	05	4	1	3	0,1	5	20	5	27	18
19/01/2024	06	6	2	4	0,1	12	37	7	56	3
19/01/2024	07	6	2	5	0,2	35	49	11	103	1
19/01/2024	08	5	2	4	0,2	14	41	8	63	9
19/01/2024	09	4	1	4	0,1	2	21	5	23	40
19/01/2024	10	3	1	4	0,1	2	17	5	19	49
19/01/2024	11	3	1	4	0,1	3	17	4	22	47
19/01/2024	12	3	1	3	0,1	1	12	3	14	54
19/01/2024	13	4	2	4	0,1	5	22	5	30	37
19/01/2024	14	4	2	4	0,1	2	18	5	21	39
19/01/2024	15	3	1	4	0,1	1	15	3	16	44
19/01/2024	16	4	2	4	0,1	1	12	4	13	45
19/01/2024	17	3	1	4	0,1	1	14	3	15	44
19/01/2024	18	1	1	3	0,1	1	11	1	11	50
19/01/2024	19	1	1	3	0,1	1	9	1	9	56
19/01/2024	20	3	1	3	0,1	1	11	3	11	48
19/01/2024	21	2	1	4	0,1	1	13	2	14	43
19/01/2024	22	1	1	3	0,1	1	8	1	8	54
19/01/2024	23	1	1	3	0,1	1	6	1	6	55
20/01/2024	00	1	1	3	0,1	1	6	1	6	54
20/01/2024	01	5	2	4	0,1	1	8	5	8	46
20/01/2024	02	2	1	3	0,1	1	8	2	8	46
20/01/2024	03	3	1	4	0,1	1	8	3	8	48
